,SearchID,Speaker,LeftContext,RightContext,C1,C2,Schwa,C3,Codes,City,Discourse,Schwa,Word,Left,Right,Sex,Region,Zone,SchwaBin
54918,906,cqamt1,que0412 maire0412 de,Beaulieu ne1112 sait plus a quel0412 saint se111,R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54930,918,cqamt1,bor0412ds manifeste,nt leur0412 colere0413.,s,t,ə,l,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54940,928,cqamt1,ne1122 cesse0412 de,baisser de1212puis les alections.,s,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54943,931,cqamt1,MT: ne,cesse0412 de1122 baisser de1212puis les alection,?,n,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54944,932,cqamt1,le1112 maire0412 de,"Beaulieu, Marc0422 Blanc",R,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54945,933,cqamt1,"e1122 Beaulieu, Marc",Blanc,R,k,ə,b,0422,Quebec ville (universite),read,no,polysylend,C,C,F,Quebec,Canada,0
54953,941,cqamt1,"e0412 Beaulieu, Marc","Blanc, euh le1112 maire0412 de1122 Beaulieu, Marc",R,k,ə,b,1422,Quebec ville (universite),read,yes,polysylend,C,C,F,Quebec,Canada,1
54962,950,cqamt1,ut dacouvrir0412 ce,"qu'il appelle0414 \\""la campagne0412 profonde0413\""""",R,s,ə,k,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54970,958,cqamt1,"0312ment, car0412 le","Premier Ministre0414, lassa des circuits habitue",R,l,ə,p,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54979,967,cqamt1,ux olympique0412s de,"Berlin en mille0412 neuf cent trente0412 six0413,",k,d,ə,b,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
54981,969,cqamt1,che0212mise0411s de,"soie,",z,d,ə,s,1122,Quebec ville (universite),read,yes,monosyl,C,C,F,Quebec,Canada,1
55019,1007,cqajs1,sentiment de0112 se,trouver dans une impasse0412 stupide0413.,d,s,ə,t,1122,Quebec ville (universite),read,yes,monosyl,C,C,M,Quebec,Canada,1
